logFC	logCPM	PValue	FDR	CF_1	CF_2	CF_3	NB_1	NB_2	NB_3	CF_1	CF_2	CF_3	NB_1	NB_2	NB_3	DE	Regulation
Eco2583	-5.29847185966455	7.32727226773508	1.90758726937896e-30	3.89571711235393e-28	238	499	400	14	14	26	149.521951984876	455.665790891429	351.914973443357	5.39786721126724	7.32290907269853	11.4313974425794	100	UP_CF_DOWN_NB
Eco2143	-4.97130099110074	8.78423688928836	7.93110383974299e-30	1.53445987973133e-27	674	1023	1391	108	42	41	423.436116125236	934.160529222309	1223.78432014927	41.6406899154901	21.9687272180956	18.0264344286828	100	UP_CF_DOWN_NB
Eco0004	4.87066427238702	9.26146674750211	4.71841343927592e-29	8.67244390138915e-27	92	33	36	3506	2514	1978	57.7984016075989	30.1342106200745	31.6723476099021	1351.78017447878	1314.98524348315	869.665543900845	100	DOWN_CF_UP_NB
Eco0672	-4.77292084868637	9.46953514514949	1.49573225306776e-28	2.61824369632243e-26	1025	1917	1963	74	65	200	643.94958312814	1750.52368965705	1727.02273217327	28.531583830984	33.9992206946717	87.9338264813797	100	UP_CF_DOWN_NB
Eco1251	4.95886727542977	8.06778254491809	2.7641581734988e-28	4.61865702080981e-26	28	20	15	924	897	1615	17.5908178805736	18.2631579515603	13.1968115041259	356.259235943638	469.18924558647	710.065648837141	100	DOWN_CF_UP_NB
Eco0593	-4.74527612643799	8.44654181548449	1.15240241317349e-27	1.79777496897712e-25	524	784	1125	62	58	49	329.19959176502	715.915791701163	989.76086280944	23.9048405070406	30.3377661583225	21.543787487938	100	UP_CF_DOWN_NB
Eco1410	5.1500551014686	7.04474119289421	1.17373773817875e-27	1.79777496897712e-25	14	7	6	919	669	98	8.7954089402868	6.3921052830461	5.27872460165035	354.331426225328	349.930440688237	43.0875749758761	100	DOWN_CF_UP_NB
Eco1409	5.16997138725344	6.96532489088185	1.88523013685872e-27	2.77204239323706e-25	12	5	8	930	579	101	7.53892194881725	4.56578948789007	7.03829946886713	358.57260760561	302.85459664946	44.4065823730967	100	DOWN_CF_UP_NB
Eco2584	-4.93575479517324	7.06577182586	2.26609540170842e-27	3.2039102679539e-25	211	447	289	16	13	29	132.559377600037	408.181580217372	254.258568312825	6.16899109859113	6.79984413893435	12.7504048398001	100	UP_CF_DOWN_NB
Eco1408	4.89694378082673	7.53288446916495	5.96045209513626e-27	8.11504514878552e-25	20	11	14	1309	919	150	12.5648699146954	10.0447368733582	12.3170240705175	504.700584253487	480.696674129282	65.9503698610348	100	DOWN_CF_UP_NB
Eco1252	4.82734169409463	7.71361459662777	1.05579366195876e-26	1.38610625048585e-24	21	18	14	820	879	949	13.1931134104302	16.4368421564043	12.3170240705175	316.160793802796	459.774076778715	417.246006654147	100	DOWN_CF_UP_NB
Eco1621	-4.77200708310304	6.85695167525619	9.29284147732578e-26	1.17794776795343e-23	188	291	344	15	13	28	118.109777198137	265.728948195202	302.646877161287	5.78342915492919	6.79984413893435	12.3107357073932	100	UP_CF_DOWN_NB
Eco3529	5.34761314761088	5.84152680485252	1.3323489151276e-24	1.63257153733635e-22	9	1	0	414	256	48	5.65419146161294	0.913157897578014	0	159.622644676046	133.90462304363	21.1041183555311	100	DOWN_CF_UP_NB
